trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-142.032548568649,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-161.82957682354973,"{0: 19, 1: 4, 2: 1, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-369.8265027581731,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-68.16034850994338,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-129.89708705235623,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.49121326857613,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-197.60993887554318,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-152.92652210862735,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-175.1136693629142,"{0: 23, 1: 0, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-18.886922081374713,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-31.585404190356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,8,-50.3296163251931,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-117.04131656547912,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,2.5646903168343194,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-84.45003320791733,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,0.16063676417571404,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-48.55232844364607,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-123.0156605104566,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-48.94743789424037,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,13.542971524831732,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-19.734948989666215,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,4,13.569352788255472,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-24.988844203387732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,10,18.317280608130197,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,0,-136.6406406763894,"{0: 29, 1: 0, 2: 1, 3: 2, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,18.304887165800295,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,15,13.211343920603246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-61.784023479273685,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,20,15.131788047168072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,1,-143.52606832417695,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 4}",1
