trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.899}",25,0,-219.63355121964653,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.3, 'e': 0.898}",20,0,-152.7481581991824,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.897}",25,0,-53.78123279160417,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.896}",25,0,-112.43631297122242,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.895}",20,11,-33.595443784389325,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.894}",30,0,-300.2990028590351,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 6}",0
7,False,"{'a': 0.3, 'e': 0.893}",20,0,-77.90968095368686,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.892}",25,0,-120.38455446004278,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.891}",20,0,-50.37814008499792,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.89}",30,0,-122.16712966314866,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.889}",25,0,-110.05936571835387,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.888}",20,0,-62.36159305565944,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.887}",25,0,-217.09119424513642,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.3, 'e': 0.886}",35,0,-247.13564935487045,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
15,False,"{'a': 0.3, 'e': 0.885}",25,10,-23.36724177276078,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.884}",25,0,-89.63248173105805,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.883}",20,0,-87.84947952410036,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.882}",25,0,-156.63797872332603,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.881}",35,9,-124.71665632928028,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 3}",1
20,False,"{'a': 0.3, 'e': 0.88}",20,9,-64.69942178366685,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
21,False,"{'a': 0.3, 'e': 0.879}",20,0,-34.30226985549957,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.3, 'e': 0.878}",25,0,-101.63414149544607,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.3, 'e': 0.877}",20,14,-0.36380044739737616,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.3, 'e': 0.876}",20,2,-69.7432976936409,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.875}",20,0,-110.42139401268776,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.874}",25,0,-167.76704341319402,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.873}",20,0,-44.25960550942636,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.3, 'e': 0.872}",20,0,-202.6689681577568,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
29,False,"{'a': 0.3, 'e': 0.871}",30,0,-109.02989026257319,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.3, 'e': 0.87}",25,13,-68.17524217895306,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
31,False,"{'a': 0.3, 'e': 0.869}",20,0,-113.22124506232007,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.3, 'e': 0.868}",20,0,-79.86872200914475,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
