trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.59217803098558,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.27267720339262,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.0100232713154,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,-87.66148816181227,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-193.9339155003389,"{0: 22, 1: 1, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.00107047623176,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.514394551997,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.32511938971815,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.798320049838956,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-242.58152361108162,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.72913117519833,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.324511926563545,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.5293939429332,"{0: 14, 1: 5, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.21939523893872,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.1636054148016,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.22079788760117,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.57335480861033,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.62326913873561,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.7547578266711,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.74965758100332,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-198.45222091065844,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.12402480773582,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.31478685187804,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-226.6196372686543,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-229.10609065490252,"{0: 15, 1: 1, 2: 8, 3: 4, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.891982990897624,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.22193671572165,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.67775740845059,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.369583490871264,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.31071094852275,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
